date,og flo,fs1 flo,fs2 flo,fs3 flo,gw1 flo,gw2 flo,gw3 flo
1/1/2017,5.83E-05,5.83E-05,5.83E-05,5.83E-05,5.83E-05,5.83E-05,5.83E-05
1/2/2017,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05,7.07E-05
1/3/2017,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04,3.49E-04
1/4/2017,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04,3.73E-04
1/5/2017,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04,1.83E-04
1/6/2017,1.18E-04,1.18E-04,1.18E-04,1.18E-04,1.18E-04,1.18E-04,1.18E-04
1/7/2017,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05,9.16E-05
1/8/2017,7.18E-05,7.18E-05,7.18E-05,7.18E-05,7.18E-05,7.18E-05,7.18E-05
1/9/2017,6.21E-05,6.21E-05,6.21E-05,6.21E-05,6.21E-05,6.21E-05,6.21E-05
1/10/2017,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05
1/11/2017,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05
1/12/2017,2.81E-03,2.81E-03,2.81E-03,2.81E-03,2.81E-03,2.81E-03,2.81E-03
1/13/2017,4.11E-04,4.11E-04,4.11E-04,4.11E-04,4.11E-04,4.11E-04,4.11E-04
1/14/2017,1.78E-04,1.78E-04,1.78E-04,1.78E-04,1.78E-04,1.78E-04,1.78E-04
1/15/2017,1.28E-04,1.28E-04,1.28E-04,1.28E-04,1.28E-04,1.28E-04,1.28E-04
1/16/2017,1.08E-04,1.08E-04,1.08E-04,1.08E-04,1.08E-04,1.08E-04,1.08E-04
1/17/2017,1.34E-04,1.34E-04,1.34E-04,1.34E-04,1.34E-04,1.34E-04,1.34E-04
1/18/2017,1.89E-04,1.89E-04,1.89E-04,1.89E-04,1.89E-04,1.89E-04,1.89E-04
1/19/2017,1.57E-04,1.57E-04,1.57E-04,1.57E-04,1.57E-04,1.57E-04,1.57E-04
1/20/2017,1.39E-04,1.39E-04,1.39E-04,1.39E-04,1.39E-04,1.39E-04,1.39E-04
1/21/2017,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04
1/22/2017,1.32E-04,1.32E-04,1.32E-04,1.32E-04,1.32E-04,1.32E-04,1.32E-04
1/23/2017,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04
1/24/2017,1.55E-04,1.55E-04,1.55E-04,1.55E-04,1.55E-04,1.55E-04,1.55E-04
1/25/2017,2.82E-04,2.82E-04,2.82E-04,2.82E-04,2.82E-04,2.82E-04,2.82E-04
1/26/2017,3.96E-04,3.96E-04,3.96E-04,3.96E-04,3.96E-04,3.96E-04,3.96E-04
