date,orgn og,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
1/1/2017,3.91E-11,3.91E-11,3.91E-11,3.91E-11,3.91E-11,3.91E-11,3.91E-11
1/2/2017,4.33E-11,4.33E-11,4.33E-11,4.33E-11,4.33E-11,4.33E-11,4.33E-11
1/3/2017,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02
1/4/2017,1.06E-03,1.06E-03,1.06E-03,1.06E-03,1.06E-03,1.06E-03,1.06E-03
1/5/2017,4.76E-05,4.76E-05,4.76E-05,4.76E-05,4.76E-05,4.76E-05,4.76E-05
1/6/2017,2.28E-06,2.28E-06,2.28E-06,2.28E-06,2.28E-06,2.28E-06,2.28E-06
1/7/2017,1.17E-07,1.17E-07,1.17E-07,1.17E-07,1.17E-07,1.17E-07,1.17E-07
1/8/2017,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09,6.21E-09
1/9/2017,5.17E-10,5.17E-10,5.17E-10,5.17E-10,5.17E-10,5.17E-10,5.17E-10
1/10/2017,2.82E-10,2.82E-10,2.82E-10,2.82E-10,2.82E-10,2.82E-10,2.82E-10
1/11/2017,3.13E-10,3.13E-10,3.13E-10,3.13E-10,3.13E-10,3.13E-10,3.13E-10
1/12/2017,0.173,0.173,0.173,0.173,0.173,0.173,0.173
1/13/2017,2.14E-02,2.14E-02,2.14E-02,2.14E-02,2.14E-02,2.14E-02,2.14E-02
1/14/2017,1.61E-03,1.61E-03,1.61E-03,1.61E-03,1.61E-03,1.61E-03,1.61E-03
1/15/2017,2.69E-04,2.69E-04,2.69E-04,2.69E-04,2.69E-04,2.69E-04,2.69E-04
1/16/2017,1.53E-04,1.53E-04,1.53E-04,1.53E-04,1.53E-04,1.53E-04,1.53E-04
1/17/2017,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04,1.16E-04
1/18/2017,9.95E-05,9.95E-05,9.95E-05,9.95E-05,9.95E-05,9.95E-05,9.95E-05
1/19/2017,1.77E-04,1.77E-04,1.77E-04,1.77E-04,1.77E-04,1.77E-04,1.77E-04
1/20/2017,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05,5.26E-05
1/21/2017,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05
1/22/2017,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05,1.03E-05
1/23/2017,3.94E-06,3.94E-06,3.94E-06,3.94E-06,3.94E-06,3.94E-06,3.94E-06
1/24/2017,1.70E-06,1.70E-06,1.70E-06,1.70E-06,1.70E-06,1.70E-06,1.70E-06
1/25/2017,8.02E-07,8.02E-07,8.02E-07,8.02E-07,8.02E-07,8.02E-07,8.02E-07
1/26/2017,2.93E-07,2.93E-07,2.93E-07,2.93E-07,2.93E-07,2.93E-07,2.93E-07
1/27/2017,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07
1/28/2017,5.21E-08,5.21E-08,5.21E-08,5.21E-08,5.21E-08,5.21E-08,5.21E-08
1/29/2017,2.26E-08,2.26E-08,2.26E-08,2.26E-08,2.26E-08,2.26E-08,2.26E-08
1/30/2017,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
1/31/2017,4.68E-09,4.68E-09,4.68E-09,4.68E-09,4.68E-09,4.68E-09,4.68E-09
2/1/2017,2.30E-09,2.30E-09,2.30E-09,2.30E-09,2.30E-09,2.30E-09,2.30E-09
2/2/2017,1.32E-09,1.32E-09,1.32E-09,1.32E-09,1.32E-09,1.32E-09,1.32E-09
2/3/2017,9.30E-10,9.30E-10,9.30E-10,9.30E-10,9.30E-10,9.30E-10,9.30E-10
2/4/2017,7.24E-10,7.24E-10,7.24E-10,7.24E-10,7.24E-10,7.24E-10,7.24E-10
