date,sol og,solp fs1,solp fs2,solp fs3,solp gw1,solp gw2,solp gw3
1/1/2017,2.93E-08,2.93E-08,2.93E-08,2.93E-08,2.93E-08,2.93E-08,2.93E-08
1/2/2017,3.08E-08,3.08E-08,3.08E-08,3.08E-08,3.08E-08,3.08E-08,3.08E-08
1/3/2017,1.39E-02,1.39E-02,1.39E-02,1.39E-02,1.39E-02,1.39E-02,1.39E-02
1/4/2017,3.91E-03,3.91E-03,3.91E-03,3.91E-03,3.91E-03,3.91E-03,3.91E-03
1/5/2017,1.39E-03,1.39E-03,1.39E-03,1.39E-03,1.39E-03,1.39E-03,1.39E-03
1/6/2017,7.04E-04,7.04E-04,7.04E-04,7.04E-04,7.04E-04,7.04E-04,7.04E-04
1/7/2017,5.72E-04,5.72E-04,5.72E-04,5.72E-04,5.72E-04,5.72E-04,5.72E-04
1/8/2017,4.87E-04,4.87E-04,4.87E-04,4.87E-04,4.87E-04,4.87E-04,4.87E-04
1/9/2017,4.34E-04,4.34E-04,4.34E-04,4.34E-04,4.34E-04,4.34E-04,4.34E-04
1/10/2017,3.93E-04,3.93E-04,3.93E-04,3.93E-04,3.93E-04,3.93E-04,3.93E-04
1/11/2017,3.51E-04,3.51E-04,3.51E-04,3.51E-04,3.51E-04,3.51E-04,3.51E-04
1/12/2017,3.27E-02,3.27E-02,3.27E-02,3.27E-02,3.27E-02,3.27E-02,3.27E-02
1/13/2017,1.81E-02,1.81E-02,1.81E-02,1.81E-02,1.81E-02,1.81E-02,1.81E-02
1/14/2017,3.70E-03,3.70E-03,3.70E-03,3.70E-03,3.70E-03,3.70E-03,3.70E-03
1/15/2017,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03,1.29E-03
1/16/2017,8.98E-04,8.98E-04,8.98E-04,8.98E-04,8.98E-04,8.98E-04,8.98E-04
1/17/2017,7.02E-04,7.02E-04,7.02E-04,7.02E-04,7.02E-04,7.02E-04,7.02E-04
1/18/2017,6.00E-04,6.00E-04,6.00E-04,6.00E-04,6.00E-04,6.00E-04,6.00E-04
1/19/2017,1.11E-03,1.11E-03,1.11E-03,1.11E-03,1.11E-03,1.11E-03,1.11E-03
1/20/2017,3.74E-04,3.74E-04,3.74E-04,3.74E-04,3.74E-04,3.74E-04,3.74E-04
1/21/2017,3.31E-04,3.31E-04,3.31E-04,3.31E-04,3.31E-04,3.31E-04,3.31E-04
1/22/2017,9.28E-05,9.28E-05,9.28E-05,9.28E-05,9.28E-05,9.28E-05,9.28E-05
1/23/2017,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05,4.17E-05
1/24/2017,2.43E-05,2.43E-05,2.43E-05,2.43E-05,2.43E-05,2.43E-05,2.43E-05
1/25/2017,4.91E-04,4.91E-04,4.91E-04,4.91E-04,4.91E-04,4.91E-04,4.91E-04
1/26/2017,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05,3.73E-05
1/27/2017,4.85E-06,4.85E-06,4.85E-06,4.85E-06,4.85E-06,4.85E-06,4.85E-06
1/28/2017,2.29E-06,2.29E-06,2.29E-06,2.29E-06,2.29E-06,2.29E-06,2.29E-06
1/29/2017,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06
1/30/2017,1.28E-06,1.28E-06,1.28E-06,1.28E-06,1.28E-06,1.28E-06,1.28E-06
1/31/2017,1.13E-06,1.13E-06,1.13E-06,1.13E-06,1.13E-06,1.13E-06,1.13E-06
2/1/2017,9.69E-07,9.69E-07,9.69E-07,9.69E-07,9.69E-07,9.69E-07,9.69E-07
2/2/2017,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07
2/3/2017,9.85E-07,9.85E-07,9.85E-07,9.85E-07,9.85E-07,9.85E-07,9.85E-07
2/4/2017,9.53E-07,9.53E-07,9.53E-07,9.53E-07,9.53E-07,9.53E-07,9.53E-07
2/5/2017,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06
2/6/2017,1.27E-04,1.27E-04,1.27E-04,1.27E-04,1.27E-04,1.27E-04,1.27E-04
2/7/2017,1.68E-02,1.68E-02,1.68E-02,1.68E-02,1.68E-02,1.68E-02,1.68E-02
2/8/2017,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02,1.73E-02
2/9/2017,6.79E-03,6.79E-03,6.79E-03,6.79E-03,6.79E-03,6.79E-03,6.79E-03
2/10/2017,2.95E-03,2.95E-03,2.95E-03,2.95E-03,2.95E-03,2.95E-03,2.95E-03
2/11/2017,1.47E-03,1.47E-03,1.47E-03,1.47E-03,1.47E-03,1.47E-03,1.47E-03
