date,orgn fs1,orgn fs2,orgn fs3,orgn gw1,orgn gw2,orgn gw3
1/1/2017,3.56E-05,3.56E-05,3.56E-05,3.56E-05,3.56E-05,3.56E-05
1/2/2017,8.85E-06,8.85E-06,8.85E-06,8.85E-06,8.85E-06,8.85E-06
1/3/2017,2.31E-06,2.31E-06,2.31E-06,2.31E-06,2.31E-06,2.31E-06
1/4/2017,6.41E-07,6.41E-07,6.41E-07,6.41E-07,6.41E-07,6.41E-07
1/5/2017,1.86E-07,1.86E-07,1.86E-07,1.86E-07,1.86E-07,1.86E-07
1/6/2017,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08
1/7/2017,2.28E-08,2.28E-08,2.28E-08,2.28E-08,2.28E-08,2.28E-08
1/8/2017,1.25E-08,1.25E-08,1.25E-08,1.25E-08,1.25E-08,1.25E-08
1/9/2017,9.44E-09,9.44E-09,9.44E-09,9.44E-09,9.44E-09,9.44E-09
1/10/2017,7.94E-09,7.94E-09,7.94E-09,7.94E-09,7.94E-09,7.94E-09
1/11/2017,7.78E-09,7.78E-09,7.78E-09,7.78E-09,7.78E-09,7.78E-09
1/12/2017,7.93E-09,7.93E-09,7.93E-09,7.93E-09,7.93E-09,7.93E-09
1/13/2017,7.59E-09,7.59E-09,7.59E-09,7.59E-09,7.59E-09,7.59E-09
1/14/2017,7.56E-09,7.56E-09,7.56E-09,7.56E-09,7.56E-09,7.56E-09
1/15/2017,7.50E-09,7.50E-09,7.50E-09,7.50E-09,7.50E-09,7.50E-09
1/16/2017,7.48E-09,7.48E-09,7.48E-09,7.48E-09,7.48E-09,7.48E-09
1/17/2017,7.71E-09,7.71E-09,7.71E-09,7.71E-09,7.71E-09,7.71E-09
1/18/2017,7.82E-09,7.82E-09,7.82E-09,7.82E-09,7.82E-09,7.82E-09
1/19/2017,7.35E-09,7.35E-09,7.35E-09,7.35E-09,7.35E-09,7.35E-09
1/20/2017,7.53E-09,7.53E-09,7.53E-09,7.53E-09,7.53E-09,7.53E-09
1/21/2017,7.45E-09,7.45E-09,7.45E-09,7.45E-09,7.45E-09,7.45E-09
1/22/2017,7.04E-09,7.04E-09,7.04E-09,7.04E-09,7.04E-09,7.04E-09
1/23/2017,7.00E-09,7.00E-09,7.00E-09,7.00E-09,7.00E-09,7.00E-09
1/24/2017,7.33E-09,7.33E-09,7.33E-09,7.33E-09,7.33E-09,7.33E-09
1/25/2017,7.18E-09,7.18E-09,7.18E-09,7.18E-09,7.18E-09,7.18E-09
1/26/2017,7.72E-09,7.72E-09,7.72E-09,7.72E-09,7.72E-09,7.72E-09
1/27/2017,7.83E-09,7.83E-09,7.83E-09,7.83E-09,7.83E-09,7.83E-09
1/28/2017,7.92E-09,7.92E-09,7.92E-09,7.92E-09,7.92E-09,7.92E-09
