date,solp fs1,solp fs2,solp fs3,solp gw1,solp gw2,solp gw3
1/1/2017,1.15E-03,1.15E-03,1.15E-03,1.15E-03,1.15E-03,1.15E-03
1/2/2017,3.29E-04,3.29E-04,3.29E-04,3.29E-04,3.29E-04,3.29E-04
1/3/2017,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04,1.04E-04
1/4/2017,3.55E-05,3.55E-05,3.55E-05,3.55E-05,3.55E-05,3.55E-05
1/5/2017,1.25E-05,1.25E-05,1.25E-05,1.25E-05,1.25E-05,1.25E-05
1/6/2017,5.05E-06,5.05E-06,5.05E-06,5.05E-06,5.05E-06,5.05E-06
1/7/2017,2.27E-06,2.27E-06,2.27E-06,2.27E-06,2.27E-06,2.27E-06
1/8/2017,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06
1/9/2017,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.18E-06
1/10/2017,8.90E-07,8.90E-07,8.90E-07,8.90E-07,8.90E-07,8.90E-07
1/11/2017,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07,9.32E-07
1/12/2017,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07
1/13/2017,8.43E-07,8.43E-07,8.43E-07,8.43E-07,8.43E-07,8.43E-07
1/14/2017,8.33E-07,8.33E-07,8.33E-07,8.33E-07,8.33E-07,8.33E-07
1/15/2017,8.38E-07,8.38E-07,8.38E-07,8.38E-07,8.38E-07,8.38E-07
1/16/2017,8.48E-07,8.48E-07,8.48E-07,8.48E-07,8.48E-07,8.48E-07
1/17/2017,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06
1/18/2017,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06
1/19/2017,1.05E-06,1.05E-06,1.05E-06,1.05E-06,1.05E-06,1.05E-06
1/20/2017,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06,1.09E-06
1/21/2017,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07,9.70E-07
1/22/2017,8.54E-07,8.54E-07,8.54E-07,8.54E-07,8.54E-07,8.54E-07
1/23/2017,8.32E-07,8.32E-07,8.32E-07,8.32E-07,8.32E-07,8.32E-07
1/24/2017,9.00E-07,9.00E-07,9.00E-07,9.00E-07,9.00E-07,9.00E-07
1/25/2017,8.58E-07,8.58E-07,8.58E-07,8.58E-07,8.58E-07,8.58E-07
1/26/2017,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06
1/27/2017,1.22E-06,1.22E-06,1.22E-06,1.22E-06,1.22E-06,1.22E-06
1/28/2017,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06
1/29/2017,1.31E-06,1.31E-06,1.31E-06,1.31E-06,1.31E-06,1.31E-06
1/30/2017,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06
1/31/2017,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06,1.35E-06
2/1/2017,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06
2/2/2017,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06
2/3/2017,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06
2/4/2017,1.07E-06,1.07E-06,1.07E-06,1.07E-06,1.07E-06,1.07E-06
2/5/2017,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06
2/6/2017,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06,1.14E-06
2/7/2017,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06
2/8/2017,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.18E-06,1.18E-06
2/9/2017,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06,1.11E-06
2/10/2017,9.99E-07,9.99E-07,9.99E-07,9.99E-07,9.99E-07,9.99E-07
2/11/2017,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06,1.29E-06
2/12/2017,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06
2/13/2017,1.54E-06,1.54E-06,1.54E-06,1.54E-06,1.54E-06,1.54E-06
2/14/2017,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06
2/15/2017,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06,1.61E-06
2/16/2017,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06
2/17/2017,1.49E-06,1.49E-06,1.49E-06,1.49E-06,1.49E-06,1.49E-06
2/18/2017,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06,1.21E-06
2/19/2017,1.40E-06,1.40E-06,1.40E-06,1.40E-06,1.40E-06,1.40E-06
2/20/2017,1.51E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06,1.51E-06
2/21/2017,1.57E-06,1.57E-06,1.57E-06,1.57E-06,1.57E-06,1.57E-06
2/22/2017,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06,1.58E-06
2/23/2017,1.54E-06,1.54E-06,1.54E-06,1.54E-06,1.54E-06,1.54E-06
2/24/2017,1.47E-06,1.47E-06,1.47E-06,1.47E-06,1.47E-06,1.47E-06
2/25/2017,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06
2/26/2017,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06
2/27/2017,1.16E-06,1.16E-06,1.16E-06,1.16E-06,1.16E-06,1.16E-06
2/28/2017,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06,1.33E-06
3/1/2017,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06
3/2/2017,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06,1.42E-06
3/3/2017,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06,1.46E-06
3/4/2017,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06,1.50E-06
3/5/2017,1.47E-06,1.47E-06,1.47E-06,1.47E-06,1.47E-06,1.47E-06
3/6/2017,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06,1.38E-06
3/7/2017,6.08E-02,6.08E-02,6.08E-02,6.08E-02,6.08E-02,6.08E-02
3/8/2017,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02
3/9/2017,5.15E-03,5.15E-03,5.15E-03,5.15E-03,5.15E-03,5.15E-03
3/10/2017,1.47E-03,1.47E-03,1.47E-03,1.47E-03,1.47E-03,1.47E-03
3/11/2017,5.24E-04,5.24E-04,5.24E-04,5.24E-04,5.24E-04,5.24E-04
3/12/2017,1.46E-04,1.46E-04,1.46E-04,1.46E-04,1.46E-04,1.46E-04
3/13/2017,4.49E-05,4.49E-05,4.49E-05,4.49E-05,4.49E-05,4.49E-05
3/14/2017,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05,1.50E-05
3/15/2017,5.09E-06,5.09E-06,5.09E-06,5.09E-06,5.09E-06,5.09E-06
3/16/2017,1.97E-06,1.97E-06,1.97E-06,1.97E-06,1.97E-06,1.97E-06
3/17/2017,8.66E-07,8.66E-07,8.66E-07,8.66E-07,8.66E-07,8.66E-07
3/18/2017,5.22E-07,5.22E-07,5.22E-07,5.22E-07,5.22E-07,5.22E-07
3/19/2017,4.02E-07,4.02E-07,4.02E-07,4.02E-07,4.02E-07,4.02E-07
3/20/2017,3.20E-07,3.20E-07,3.20E-07,3.20E-07,3.20E-07,3.20E-07
3/21/2017,3.40E-07,3.40E-07,3.40E-07,3.40E-07,3.40E-07,3.40E-07
3/22/2017,3.42E-07,3.42E-07,3.42E-07,3.42E-07,3.42E-07,3.42E-07
3/23/2017,3.44E-07,3.44E-07,3.44E-07,3.44E-07,3.44E-07,3.44E-07
3/24/2017,3.59E-07,3.59E-07,3.59E-07,3.59E-07,3.59E-07,3.59E-07
3/25/2017,3.72E-07,3.72E-07,3.72E-07,3.72E-07,3.72E-07,3.72E-07
3/26/2017,3.86E-07,3.86E-07,3.86E-07,3.86E-07,3.86E-07,3.86E-07
3/27/2017,3.95E-07,3.95E-07,3.95E-07,3.95E-07,3.95E-07,3.95E-07
3/28/2017,4.02E-07,4.02E-07,4.02E-07,4.02E-07,4.02E-07,4.02E-07
3/29/2017,4.05E-07,4.05E-07,4.05E-07,4.05E-07,4.05E-07,4.05E-07
3/30/2017,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07,4.12E-07
3/31/2017,3.98E-07,3.98E-07,3.98E-07,3.98E-07,3.98E-07,3.98E-07
4/1/2017,8.95E-02,8.95E-02,8.95E-02,8.95E-02,8.95E-02,8.95E-02
4/2/2017,2.14E-02,2.14E-02,2.14E-02,2.14E-02,2.14E-02,2.14E-02
4/3/2017,4.61E-03,4.61E-03,4.61E-03,4.61E-03,4.61E-03,4.61E-03
4/4/2017,9.49E-04,9.49E-04,9.49E-04,9.49E-04,9.49E-04,9.49E-04
4/5/2017,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04,1.93E-04
4/6/2017,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05,4.21E-05
4/7/2017,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05
4/8/2017,2.71E-06,2.71E-06,2.71E-06,2.71E-06,2.71E-06,2.71E-06
4/9/2017,7.91E-07,7.91E-07,7.91E-07,7.91E-07,7.91E-07,7.91E-07
4/10/2017,2.38E-07,2.38E-07,2.38E-07,2.38E-07,2.38E-07,2.38E-07
4/11/2017,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09,5.42E-09
4/12/2017,1.19E-10,1.19E-10,1.19E-10,1.19E-10,1.19E-10,1.19E-10
4/13/2017,2.59E-12,2.59E-12,2.59E-12,2.59E-12,2.59E-12,2.59E-12
4/14/2017,5.50E-14,5.50E-14,5.50E-14,5.50E-14,5.50E-14,5.50E-14
4/15/2017,1.16E-15,1.16E-15,1.16E-15,1.16E-15,1.16E-15,1.16E-15
4/16/2017,2.42E-17,2.42E-17,2.42E-17,2.42E-17,2.42E-17,2.42E-17
4/17/2017,9.71E-08,9.71E-08,9.71E-08,9.71E-08,9.71E-08,9.71E-08
4/18/2017,4.00E-09,4.00E-09,4.00E-09,4.00E-09,4.00E-09,4.00E-09
4/19/2017,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10,1.48E-10
4/20/2017,1.94E-02,1.94E-02,1.94E-02,1.94E-02,1.94E-02,1.94E-02
4/21/2017,8.14E-03,8.14E-03,8.14E-03,8.14E-03,8.14E-03,8.14E-03
4/22/2017,0.181,0.181,0.181,0.181,0.181,0.181
4/23/2017,2.54E-02,2.54E-02,2.54E-02,2.54E-02,2.54E-02,2.54E-02
4/24/2017,2.18E-02,2.18E-02,2.18E-02,2.18E-02,2.18E-02,2.18E-02
4/25/2017,4.20E-02,4.20E-02,4.20E-02,4.20E-02,4.20E-02,4.20E-02
4/26/2017,2.06E-02,2.06E-02,2.06E-02,2.06E-02,2.06E-02,2.06E-02
4/27/2017,7.78E-03,7.78E-03,7.78E-03,7.78E-03,7.78E-03,7.78E-03
4/28/2017,1.37E-03,1.37E-03,1.37E-03,1.37E-03,1.37E-03,1.37E-03
4/29/2017,2.46E-04,2.46E-04,2.46E-04,2.46E-04,2.46E-04,2.46E-04
4/30/2017,4.84E-05,4.84E-05,4.84E-05,4.84E-05,4.84E-05,4.84E-05
5/1/2017,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05,1.01E-05
5/2/2017,2.40E-06,2.40E-06,2.40E-06,2.40E-06,2.40E-06,2.40E-06
5/3/2017,6.19E-07,6.19E-07,6.19E-07,6.19E-07,6.19E-07,6.19E-07
5/4/2017,8.33E-09,8.33E-09,8.33E-09,8.33E-09,8.33E-09,8.33E-09
5/5/2017,1.03E-10,1.03E-10,1.03E-10,1.03E-10,1.03E-10,1.03E-10
5/6/2017,2.42E-12,2.42E-12,2.42E-12,2.42E-12,2.42E-12,2.42E-12
5/7/2017,4.41E-14,4.41E-14,4.41E-14,4.41E-14,4.41E-14,4.41E-14
5/8/2017,6.92E-16,6.92E-16,6.92E-16,6.92E-16,6.92E-16,6.92E-16
5/9/2017,9.73E-18,9.73E-18,9.73E-18,9.73E-18,9.73E-18,9.73E-18
5/10/2017,1.85E-19,1.85E-19,1.85E-19,1.85E-19,1.85E-19,1.85E-19
5/11/2017,3.14E-21,3.14E-21,3.14E-21,3.14E-21,3.14E-21,3.14E-21
5/12/2017,9.68E-23,9.68E-23,9.68E-23,9.68E-23,9.68E-23,9.68E-23
5/13/2017,2.10E-24,2.10E-24,2.10E-24,2.10E-24,2.10E-24,2.10E-24
5/14/2017,3.76E-26,3.76E-26,3.76E-26,3.76E-26,3.76E-26,3.76E-26
5/15/2017,5.94E-28,5.94E-28,5.94E-28,5.94E-28,5.94E-28,5.94E-28
5/16/2017,1.21E-29,1.21E-29,1.21E-29,1.21E-29,1.21E-29,1.21E-29
