Date,Value
01/01/2017,0.0002224
02/01/2017,0.0002325
03/01/2017,0.0005831
04/01/2017,0.0005454
05/01/2017,0.0003489
06/01/2017,0.0002838
07/01/2017,0.0002578
08/01/2017,0.0002387
09/01/2017,0.00023
10/01/2017,0.0002357
11/01/2017,0.0002516
12/01/2017,0.003689
13/01/2017,0.0006151
14/01/2017,0.0003592
15/01/2017,0.0003037
16/01/2017,0.0002834
17/01/2017,0.0003093
18/01/2017,0.0003654
19/01/2017,0.0003372
20/01/2017,0.0003279
21/01/2017,0.0003469
22/01/2017,0.0003416
23/01/2017,0.0003335
24/01/2017,0.0003803
25/01/2017,0.0005163
26/01/2017,0.0006384
27/01/2017,0.000522
28/01/2017,0.0004598
29/01/2017,0.0004245
30/01/2017,0.0004023
31/01/2017,0.0004011
01/02/2017,0.0003885
02/02/2017,0.0003794
03/02/2017,0.0003753
04/02/2017,0.0003754
05/02/2017,0.0003858
06/02/2017,0.0003784
07/02/2017,0.0009314
08/02/2017,0.0005787
09/02/2017,0.0004645
10/02/2017,0.0004308
11/02/2017,0.0004236
12/02/2017,0.0008615
13/02/2017,0.0007442
14/02/2017,0.0006265
15/02/2017,0.0005969
16/02/2017,0.0005441
17/02/2017,0.0005211
18/02/2017,0.0005195
19/02/2017,0.0004948
20/02/2017,0.0004753
21/02/2017,0.0004833
22/02/2017,0.000488
23/02/2017,0.0004841
24/02/2017,0.0004848
25/02/2017,0.0004825
26/02/2017,0.0004612
27/02/2017,0.000464
28/02/2017,0.0004817
01/03/2017,0.0005091
02/03/2017,0.0004596
03/03/2017,0.000449
04/03/2017,0.0004446
05/03/2017,0.0004544
06/03/2017,0.0004646
07/03/2017,0.0004693
08/03/2017,0.0004863
09/03/2017,0.0004743
10/03/2017,0.000468
11/03/2017,0.0004576
12/03/2017,0.000454
13/03/2017,0.0004583
14/03/2017,0.000468
15/03/2017,0.0004589
16/03/2017,0.0004506
17/03/2017,0.000455
18/03/2017,0.0004599
19/03/2017,0.0004578
20/03/2017,0.0004788
21/03/2017,0.0006025
22/03/2017,0.0005688
23/03/2017,0.0005278
24/03/2017,0.0005287
25/03/2017,0.001251
26/03/2017,0.0009498
27/03/2017,0.0007675
28/03/2017,0.0006824
29/03/2017,0.0006313
30/03/2017,0.0006246
31/03/2017,0.001148
01/04/2017,0.001062
02/04/2017,0.0008456
03/04/2017,0.0007892
04/04/2017,0.0008384
05/04/2017,0.0007524
06/04/2017,0.001402
07/04/2017,0.001709
08/04/2017,0.001059
09/04/2017,0.0009387
10/04/2017,0.00089
11/04/2017,0.0008554
12/04/2017,0.0007919
13/04/2017,0.0007506
14/04/2017,0.0007355
15/04/2017,0.0007397
16/04/2017,0.0007434
17/04/2017,0.0007079
18/04/2017,0.0006868
19/04/2017,0.0006856
20/04/2017,0.0007985
21/04/2017,0.00124
22/04/2017,0.0009177
23/04/2017,0.0008381
24/04/2017,0.0007967
25/04/2017,0.0007735
26/04/2017,0.0007681
27/04/2017,0.0007549
28/04/2017,0.0007273
29/04/2017,0.0007107
30/04/2017,0.0007067
01/05/2017,0.0008721
02/05/2017,0.0008815
03/05/2017,0.0007857
04/05/2017,0.000759
05/05/2017,0.0009135
06/05/2017,0.001273
07/05/2017,0.001104
08/05/2017,0.0009791
09/05/2017,0.0008963
10/05/2017,0.0008474
11/05/2017,0.0008192
12/05/2017,0.0007997
13/05/2017,0.0007887
14/05/2017,0.0007725
15/05/2017,0.0007537
16/05/2017,0.0007511
17/05/2017,0.0007558
18/05/2017,0.0007545
19/05/2017,0.0007393
20/05/2017,0.0007291
21/05/2017,0.0007305
22/05/2017,0.0007232
23/05/2017,0.0007203
24/05/2017,0.0007177
25/05/2017,0.001106
26/05/2017,0.0009206
27/05/2017,0.0008268
28/05/2017,0.0008017
29/05/2017,0.0007832
30/05/2017,0.0007661
31/05/2017,0.0007526
01/06/2017,0.0007395
02/06/2017,0.0007272
03/06/2017,0.0007196
04/06/2017,0.0007285
05/06/2017,0.0007438
06/06/2017,0.0007228
07/06/2017,0.0007111
08/06/2017,0.0007125
09/06/2017,0.0007058
10/06/2017,0.000696
11/06/2017,0.0006887
12/06/2017,0.0006829
13/06/2017,0.000677
14/06/2017,0.0006674
15/06/2017,0.001246
16/06/2017,0.001052
17/06/2017,0.0007717
18/06/2017,0.000972
19/06/2017,0.000836
20/06/2017,0.0007236
21/06/2017,0.00069
22/06/2017,0.0006779
23/06/2017,0.0006735
24/06/2017,0.0006874
25/06/2017,0.0006584
26/06/2017,0.0006482
27/06/2017,0.0006371
28/06/2017,0.0006257
29/06/2017,0.0006214
30/06/2017,0.0006362
01/07/2017,0.001269
02/07/2017,0.0007778
