Date,Value
01/01/2017,0.000271
02/01/2017,0.0002783
03/01/2017,0.003335
04/01/2017,0.0007472
05/01/2017,0.000397
06/01/2017,0.0003175
07/01/2017,0.0002873
08/01/2017,0.0002643
09/01/2017,0.0002512
10/01/2017,0.0002534
11/01/2017,0.002397
12/01/2017,0.01183
13/01/2017,0.0009981
14/01/2017,0.0003835
15/01/2017,0.0002958
16/01/2017,0.0002727
17/01/2017,0.0003007
18/01/2017,0.0003474
19/01/2017,0.0003379
20/01/2017,0.0003503
21/01/2017,0.0004162
22/01/2017,0.0004593
23/01/2017,0.0004945
24/01/2017,0.00058
25/01/2017,0.0007549
26/01/2017,0.0009126
27/01/2017,0.0008279
28/01/2017,0.0007937
29/01/2017,0.0007833
30/01/2017,0.0007828
31/01/2017,0.000801
01/02/2017,0.0008035
02/02/2017,0.0008087
03/02/2017,0.0008163
04/02/2017,0.000826
05/02/2017,0.0008426
06/02/2017,0.000841
07/02/2017,0.00568
08/02/2017,0.001275
09/02/2017,0.0009462
10/02/2017,0.0009038
11/02/2017,0.001366
12/02/2017,0.001369
13/02/2017,0.001207
14/02/2017,0.001082
15/02/2017,0.001048
16/02/2017,0.0009875
17/02/2017,0.0009572
18/02/2017,0.0009481
19/02/2017,0.0009148
20/02/2017,0.0008865
21/02/2017,0.0008853
22/02/2017,0.0008819
23/02/2017,0.0008731
24/02/2017,0.000872
25/02/2017,0.0008804
26/02/2017,0.0008676
27/02/2017,0.0008777
28/02/2017,0.0009008
01/03/2017,0.0009322
02/03/2017,0.0008849
03/03/2017,0.0008748
04/03/2017,0.0008702
05/03/2017,0.0008778
06/03/2017,0.0008852
07/03/2017,0.0008857
08/03/2017,0.0009034
09/03/2017,0.0008889
10/03/2017,0.000883
11/03/2017,0.0008683
12/03/2017,0.000862
13/03/2017,0.0008607
14/03/2017,0.0008644
15/03/2017,0.0008498
16/03/2017,0.000833
17/03/2017,0.0008968
18/03/2017,0.0008344
19/03/2017,0.0009113
20/03/2017,0.0009748
21/03/2017,0.0009565
22/03/2017,0.0008993
23/03/2017,0.0008476
24/03/2017,0.0008373
25/03/2017,0.001555
26/03/2017,0.001245
27/03/2017,0.001063
28/03/2017,0.0009818
29/03/2017,0.0009335
30/03/2017,0.0009325
31/03/2017,0.001479
01/04/2017,0.001407
02/04/2017,0.001205
03/04/2017,0.001163
04/04/2017,0.001233
05/04/2017,0.001163
06/04/2017,0.001842
07/04/2017,0.002169
08/04/2017,0.001543
09/04/2017,0.001442
10/04/2017,0.001408
11/04/2017,0.001388
12/04/2017,0.001337
13/04/2017,0.001305
14/04/2017,0.0013
15/04/2017,0.001311
16/04/2017,0.001323
17/04/2017,0.001291
18/04/2017,0.001275
19/04/2017,0.001274
20/04/2017,0.001395
21/04/2017,0.001858
22/04/2017,0.001556
23/04/2017,0.00149
24/04/2017,0.001463
25/04/2017,0.001451
26/04/2017,0.001454
27/04/2017,0.001446
28/04/2017,0.00142
29/04/2017,0.001405
30/04/2017,0.001399
01/05/2017,0.001567
02/05/2017,0.001573
03/05/2017,0.001471
04/05/2017,0.001441
05/05/2017,0.001605
06/05/2017,0.001972
07/05/2017,0.001808
08/05/2017,0.001689
09/05/2017,0.001606
10/05/2017,0.001557
11/05/2017,0.001528
12/05/2017,0.001503
13/05/2017,0.001487
14/05/2017,0.001463
15/05/2017,0.001436
16/05/2017,0.001423
17/05/2017,0.001417
18/05/2017,0.001403
19/05/2017,0.001375
