Date,Value
01/01/2017,4.963E-10
02/01/2017,3.769E-10
03/01/2017,0.0222
04/01/2017,0.001633
05/01/2017,0.0001736
06/01/2017,5.384E-05
07/01/2017,2.358E-05
08/01/2017,1.078E-05
09/01/2017,4.984E-06
10/01/2017,2.325E-06
11/01/2017,1.611E-06
12/01/2017,0.3473
13/01/2017,0.03173
14/01/2017,0.00313
15/01/2017,0.0006949
16/01/2017,0.0002694
17/01/2017,0.0001175
18/01/2017,5.231E-05
19/01/2017,2.833E-05
20/01/2017,7.767E-06
21/01/2017,2.716E-06
22/01/2017,1.015E-06
23/01/2017,2.852E-07
24/01/2017,8.418E-08
25/01/2017,2.713E-08
26/01/2017,8.572E-09
27/01/2017,3.409E-09
28/01/2017,1.923E-09
29/01/2017,1.44E-09
30/01/2017,1.305E-09
31/01/2017,1.243E-09
01/02/2017,1.144E-09
02/02/2017,1.161E-09
03/02/2017,1.198E-09
04/02/2017,1.168E-09
05/02/2017,1.362E-09
06/02/2017,1.156E-09
07/02/2017,0.04487
08/02/2017,0.004471
09/02/2017,0.0007452
10/02/2017,0.0001834
11/02/2017,5.028E-05
12/02/2017,0.02506
13/02/2017,0.001308
14/02/2017,5.392E-05
15/02/2017,2.346E-06
16/02/2017,1.693E-07
17/02/2017,3.151E-08
18/02/2017,9.188E-09
19/02/2017,3.225E-09
20/02/2017,1.588E-09
21/02/2017,1.285E-09
22/02/2017,1.134E-09
23/02/2017,8.599E-10
24/02/2017,1.248E-09
25/02/2017,1.231E-09
26/02/2017,1.5E-09
27/02/2017,1.217E-09
28/02/2017,1.087E-09
01/03/2017,1.34E-09
02/03/2017,1.241E-09
03/03/2017,1.299E-09
04/03/2017,1.351E-09
05/03/2017,1.333E-09
06/03/2017,1.071E-09
07/03/2017,1.292E-09
08/03/2017,1.181E-09
09/03/2017,1.263E-09
10/03/2017,1.32E-09
11/03/2017,1.364E-09
12/03/2017,1.356E-09
13/03/2017,1.567E-09
14/03/2017,1.666E-09
15/03/2017,1.669E-09
16/03/2017,1.352E-09
17/03/2017,1.188E-09
18/03/2017,1.219E-09
19/03/2017,1.145E-09
20/03/2017,1.124E-09
21/03/2017,0.002819
22/03/2017,0.002765
23/03/2017,0.0001807
24/03/2017,9.394E-06
25/03/2017,0.06066
26/03/2017,0.02891
27/03/2017,0.001432
28/03/2017,5.958E-05
29/03/2017,2.32E-06
30/03/2017,9.174E-08
31/03/2017,5.16E-09
01/04/2017,1.786E-09
02/04/2017,1.33E-09
03/04/2017,1.238E-09
04/04/2017,0.01214
05/04/2017,0.0006628
06/04/2017,0.1019
07/04/2017,0.004088
08/04/2017,0.000106
09/04/2017,3.615E-06
10/04/2017,1.272E-07
11/04/2017,5.708E-09
12/04/2017,1.783E-09
13/04/2017,1.422E-09
14/04/2017,1.273E-09
15/04/2017,1.55E-09
16/04/2017,1.499E-09
17/04/2017,1.345E-09
18/04/2017,1.326E-09
19/04/2017,1.541E-09
20/04/2017,0.03143
21/04/2017,0.001834
22/04/2017,5.859E-05
23/04/2017,2.194E-06
24/04/2017,8.018E-08
25/04/2017,4.436E-09
26/04/2017,1.436E-09
27/04/2017,1.114E-09
28/04/2017,1.519E-09
29/04/2017,1.407E-09
30/04/2017,1.623E-09
01/05/2017,1.755E-09
02/05/2017,1.602E-09
03/05/2017,0.006475
04/05/2017,0.0003979
05/05/2017,0.01976
06/05/2017,0.05176
07/05/2017,0.03213
08/05/2017,0.001522
09/05/2017,6.132E-05
10/05/2017,2.316E-06
11/05/2017,8.651E-08
12/05/2017,4.528E-09
13/05/2017,1.514E-09
14/05/2017,1.482E-09
15/05/2017,1.349E-09
16/05/2017,1.574E-09
17/05/2017,1.17E-09
18/05/2017,1.424E-09
19/05/2017,1.398E-09
20/05/2017,1.329E-09
21/05/2017,1.548E-09
22/05/2017,1.426E-09
23/05/2017,1.186E-09
24/05/2017,1.439E-09
25/05/2017,1.867E-09
26/05/2017,1.468E-09
27/05/2017,1.344E-09
28/05/2017,1.203E-09
29/05/2017,1.432E-09
30/05/2017,1.59E-09
31/05/2017,1.399E-09
01/06/2017,1.318E-09
02/06/2017,1.268E-09
03/06/2017,1.222E-09
04/06/2017,1.567E-09
05/06/2017,1.572E-09
06/06/2017,1.436E-09
07/06/2017,1.249E-09
08/06/2017,1.12E-09
09/06/2017,1.059E-09
10/06/2017,1.049E-09
11/06/2017,9.466E-10
12/06/2017,8.63E-10
13/06/2017,8.903E-10
14/06/2017,9.236E-10
15/06/2017,1.381E-09
16/06/2017,1.128E-09
17/06/2017,8.891E-10
18/06/2017,1.244E-09
19/06/2017,0.01603
20/06/2017,0.0009633
21/06/2017,5.034E-05
22/06/2017,2.638E-06
23/06/2017,1.355E-07
24/06/2017,8.131E-09
25/06/2017,1.506E-09
26/06/2017,1.154E-09
27/06/2017,1.366E-09
28/06/2017,1.127E-09
29/06/2017,1.273E-09
30/06/2017,1.325E-09
01/07/2017,0.0898
02/07/2017,0.003834
03/07/2017,0.0001851
04/07/2017,8.724E-06
05/07/2017,0.00172
06/07/2017,0.0001373
07/07/2017,8.866E-06
08/07/2017,8.007E-07
09/07/2017,5.268E-08
10/07/2017,4.822E-09
11/07/2017,1.183E-09
12/07/2017,0.0004974
13/07/2017,0.1902
14/07/2017,0.04757
15/07/2017,0.002454
16/07/2017,0.0001132
17/07/2017,5.216E-06
18/07/2017,2.377E-07
19/07/2017,0.001547
20/07/2017,0.0001445
21/07/2017,7.42E-06
22/07/2017,3.702E-07
23/07/2017,1.954E-08
24/07/2017,2.125E-09
25/07/2017,1.103E-09
26/07/2017,8.83E-10
27/07/2017,1.149E-09
28/07/2017,9.724E-10
29/07/2017,8.15E-10
30/07/2017,6.826E-10
31/07/2017,6.273E-10
01/08/2017,5.737E-10
02/08/2017,5.402E-10
03/08/2017,7.69E-10
04/08/2017,1.043E-09
