Date,Value
01/01/2017,1.263E-05
02/01/2017,1.019E-05
03/01/2017,0.2978
04/01/2017,0.0181
05/01/2017,0.001507
06/01/2017,0.0002811
07/01/2017,0.0001919
08/01/2017,0.0001611
09/01/2017,8.632E-05
10/01/2017,7.045E-05
11/01/2017,0.2076
12/01/2017,1.369
13/01/2017,0.07751
14/01/2017,0.006183
15/01/2017,0.0004386
16/01/2017,0.0001398
17/01/2017,0.0005344
18/01/2017,7.564E-05
19/01/2017,7.089E-05
20/01/2017,6.525E-05
21/01/2017,7.986E-05
22/01/2017,6.791E-05
23/01/2017,5.468E-05
24/01/2017,4.271E-05
25/01/2017,3.322E-05
26/01/2017,2.443E-05
27/01/2017,1.753E-05
28/01/2017,1.237E-05
29/01/2017,8.581E-06
30/01/2017,5.866E-06
31/01/2017,3.959E-06
01/02/2017,2.643E-06
02/02/2017,1.752E-06
03/02/2017,1.151E-06
04/02/2017,7.516E-07
05/02/2017,4.883E-07
06/02/2017,3.159E-07
07/02/2017,0.5507
08/02/2017,0.0319
09/02/2017,0.003155
10/02/2017,0.0008476
11/02/2017,0.03904
12/02/2017,0.02867
13/02/2017,0.001574
14/02/2017,0.0002668
15/02/2017,0.000141
16/02/2017,8.712E-05
17/02/2017,5.484E-05
18/02/2017,3.457E-05
19/02/2017,2.191E-05
20/02/2017,1.381E-05
21/02/2017,8.869E-06
22/02/2017,5.831E-06
23/02/2017,3.759E-06
24/02/2017,2.492E-06
25/02/2017,1.686E-06
26/02/2017,1.077E-06
27/02/2017,6.81E-07
28/02/2017,4.3E-07
01/03/2017,2.713E-07
02/03/2017,1.705E-07
03/03/2017,1.077E-07
04/03/2017,6.786E-08
05/03/2017,4.285E-08
06/03/2017,2.695E-08
07/03/2017,1.71E-08
08/03/2017,1.11E-08
09/03/2017,7.007E-09
10/03/2017,4.465E-09
11/03/2017,2.849E-09
12/03/2017,1.835E-09
13/03/2017,1.426E-09
14/03/2017,1.194E-09
15/03/2017,1.045E-09
16/03/2017,6.8E-10
17/03/2017,0.004007
