Date,Value
01/01/2017,3.518E-05
02/01/2017,1.808E-05
03/01/2017,0.01845
04/01/2017,0.0111
05/01/2017,0.003741
06/01/2017,0.001537
07/01/2017,0.0008199
08/01/2017,0.0004344
09/01/2017,0.0002654
10/01/2017,0.0001672
11/01/2017,0.007723
12/01/2017,0.04162
13/01/2017,0.02233
14/01/2017,0.008229
15/01/2017,0.002909
16/01/2017,0.001289
17/01/2017,0.0006611
18/01/2017,0.0003282
19/01/2017,0.0002027
20/01/2017,6.722E-05
21/01/2017,3.189E-05
22/01/2017,1.42E-05
23/01/2017,4.536E-06
24/01/2017,1.832E-06
25/01/2017,0.0004797
26/01/2017,2.962E-05
27/01/2017,1.64E-06
28/01/2017,4.568E-07
29/01/2017,4.101E-07
30/01/2017,4.214E-07
31/01/2017,4.268E-07
01/02/2017,4.091E-07
02/02/2017,4.214E-07
03/02/2017,4.439E-07
04/02/2017,4.404E-07
05/02/2017,5.309E-07
06/02/2017,0.0001289
07/02/2017,0.02046
08/02/2017,0.01848
09/02/2017,0.005307
10/02/2017,0.001527
11/02/2017,0.00048
12/02/2017,0.002711
13/02/2017,0.000184
14/02/2017,2.239E-05
15/02/2017,6.247E-06
16/02/2017,2.391E-06
17/02/2017,1.143E-06
18/02/2017,6.947E-07
19/02/2017,4.718E-07
20/02/2017,4.454E-07
21/02/2017,5.443E-07
22/02/2017,3.867E-07
23/02/2017,2.92E-07
24/02/2017,3.652E-07
25/02/2017,3.741E-07
26/02/2017,3.807E-07
27/02/2017,2.903E-07
28/02/2017,2.564E-07
01/03/2017,3.232E-07
02/03/2017,2.994E-07
03/03/2017,3.141E-07
04/03/2017,3.313E-07
05/03/2017,3.305E-07
06/03/2017,0.0001101
07/03/2017,9.02E-06
08/03/2017,8.308E-07
09/03/2017,3.348E-07
10/03/2017,3.126E-07
11/03/2017,3.237E-07
12/03/2017,3.268E-07
13/03/2017,3.85E-07
14/03/2017,4.166E-07
15/03/2017,4.268E-07
16/03/2017,3.5E-07
17/03/2017,3.105E-07
18/03/2017,3.231E-07
19/03/2017,3.08E-07
20/03/2017,3.037E-07
21/03/2017,0.0003376
22/03/2017,0.0002261
23/03/2017,1.496E-05
24/03/2017,1.138E-06
25/03/2017,0.01396
26/03/2017,0.002321
27/03/2017,0.000111
28/03/2017,4.939E-06
29/03/2017,4.944E-07
30/03/2017,3.963E-07
31/03/2017,4.027E-07
01/04/2017,0.002222
02/04/2017,0.000104
03/04/2017,4.5E-06
04/04/2017,0.001183
05/04/2017,6.481E-05
06/04/2017,0.02889
07/04/2017,0.001158
08/04/2017,3.032E-05
09/04/2017,1.236E-06
10/04/2017,2.416E-07
11/04/2017,0.003076
12/04/2017,0.000553
13/04/2017,2.997E-05
14/04/2017,1.496E-06
15/04/2017,3.094E-07
16/04/2017,2.516E-07
17/04/2017,2.268E-07
18/04/2017,2.269E-07
19/04/2017,2.682E-07
20/04/2017,0.003
21/04/2017,0.000175
22/04/2017,0.001394
23/04/2017,7.641E-05
24/04/2017,3.397E-06
25/04/2017,3.384E-07
26/04/2017,1.784E-07
27/04/2017,1.44E-07
28/04/2017,1.994E-07
29/04/2017,1.886E-07
30/04/2017,2.222E-07
01/05/2017,2.262E-07
02/05/2017,2.107E-07
03/05/2017,0.0005057
04/05/2017,3.129E-05
05/05/2017,0.001919
06/05/2017,0.00452
07/05/2017,0.00203
08/05/2017,9.577E-05
09/05/2017,4.022E-06
10/05/2017,3.208E-07
11/05/2017,1.728E-07
12/05/2017,1.633E-07
13/05/2017,1.654E-07
14/05/2017,1.768E-07
15/05/2017,1.631E-07
16/05/2017,1.933E-07
17/05/2017,1.443E-07
18/05/2017,1.78E-07
19/05/2017,1.781E-07
20/05/2017,1.716E-07
21/05/2017,2.036E-07
22/05/2017,1.906E-07
23/05/2017,1.591E-07
24/05/2017,1.956E-07
25/05/2017,0.003641
26/05/2017,0.0001717
27/05/2017,7.367E-06
