Date,Value
01/01/2017,0.001523
02/01/2017,0.001083
03/01/2017,0.04198
04/01/2017,0.02491
05/01/2017,0.003138
06/01/2017,0.0006032
07/01/2017,0.0004082
08/01/2017,0.0003441
09/01/2017,0.0001842
10/01/2017,0.0001522
11/01/2017,0.03044
12/01/2017,0.1074
13/01/2017,0.02345
14/01/2017,0.02323
15/01/2017,0.002085
16/01/2017,0.0008435
17/01/2017,0.009259
18/01/2017,0.001144
19/01/2017,0.0009036
20/01/2017,0.0008373
21/01/2017,0.001025
22/01/2017,0.0008711
23/01/2017,0.000701
24/01/2017,0.0005806
25/01/2017,0.0009323
26/01/2017,0.0003609
27/01/2017,0.0002397
28/01/2017,0.0001683
29/01/2017,0.0001167
30/01/2017,7.98E-05
31/01/2017,5.392E-05
01/02/2017,3.605E-05
02/02/2017,2.39E-05
03/02/2017,1.595E-05
04/02/2017,1.048E-05
05/02/2017,9.298E-06
06/02/2017,0.0001349
07/02/2017,0.05059
08/02/2017,0.02288
09/02/2017,0.01947
10/02/2017,0.006635
11/02/2017,0.02802
12/02/2017,0.03227
13/02/2017,0.006509
14/02/2017,0.003341
15/02/2017,0.002072
16/02/2017,0.001298
17/02/2017,0.0008218
18/02/2017,0.000524
19/02/2017,0.000332
20/02/2017,0.0002118
21/02/2017,0.0001552
22/02/2017,0.0001025
23/02/2017,6.597E-05
24/02/2017,5.234E-05
25/02/2017,4.354E-05
26/02/2017,2.792E-05
27/02/2017,1.759E-05
28/02/2017,1.105E-05
01/03/2017,9.272E-06
02/03/2017,5.859E-06
03/03/2017,3.71E-06
04/03/2017,2.442E-06
05/03/2017,1.559E-06
06/03/2017,0.000111
07/03/2017,1.016E-05
08/03/2017,1.656E-06
09/03/2017,7.299E-07
10/03/2017,4.83E-07
11/03/2017,3.874E-07
12/03/2017,3.088E-07
13/03/2017,1.41E-06
14/03/2017,2.401E-06
15/03/2017,3.17E-06
16/03/2017,2.03E-06
17/03/2017,0.01873
18/03/2017,0.008846
19/03/2017,0.02508
